index,field,pv,value
52,h_fofb_disabled,SR01A-PC-HSTR-06:FAST:DISABLED,0
52,h_sofb_disabled,SR01A-PC-HSTR-06:SLOW:DISABLED,0
52,error_sum,SR01A-PC-VSTR-06:ERCSUM,0
52,state,SR01A-PC-VSTR-06:STATE,2
52,v_fofb_disabled,SR01A-PC-VSTR-06:FAST:DISABLED,0
52,v_sofb_disabled,SR01A-PC-VSTR-06:SLOW:DISABLED,0
57,enabled,SR01C-DI-EBPM-06:CF:ENABLED_S,1
57,x_fofb_disabled,SR01C-PC-HBPM-06:FAST:DISABLED,0
57,x_sofb_disabled,SR01C-PC-HBPM-06:SLOW:DISABLED,0
57,y_fofb_disabled,SR01C-PC-VBPM-06:FAST:DISABLED,0
57,y_sofb_disabled,SR01C-PC-VBPM-06:SLOW:DISABLED,0
62,error_sum,SR01A-PC-HSTR-07:ERCSUM,0
62,state,SR01A-PC-HSTR-07:STATE,2
62,h_fofb_disabled,SR01A-PC-HSTR-07:FAST:DISABLED,0
62,h_sofb_disabled,SR01A-PC-HSTR-07:SLOW:DISABLED,0
62,error_sum,SR01A-PC-VSTR-07:ERCSUM,0
62,state,SR01A-PC-VSTR-07:STATE,2
62,v_fofb_disabled,SR01A-PC-VSTR-07:FAST:DISABLED,0
62,v_sofb_disabled,SR01A-PC-VSTR-07:SLOW:DISABLED,0
67,enabled,SR01C-DI-EBPM-07:CF:ENABLED_S,1
67,x_fofb_disabled,SR01C-PC-HBPM-07:FAST:DISABLED,0
67,x_sofb_disabled,SR01C-PC-HBPM-07:SLOW:DISABLED,0
67,y_fofb_disabled,SR01C-PC-VBPM-07:FAST:DISABLED,0
67,y_sofb_disabled,SR01C-PC-VBPM-07:SLOW:DISABLED,0
95,enabled,SR02C-DI-EBPM-01:CF:ENABLED_S,1
95,x_fofb_disabled,SR02C-PC-HBPM-01:FAST:DISABLED,0
95,x_sofb_disabled,SR02C-PC-HBPM-01:SLOW:DISABLED,0
95,y_fofb_disabled,SR02C-PC-VBPM-01:FAST:DISABLED,0
95,y_sofb_disabled,SR02C-PC-VBPM-01:SLOW:DISABLED,0
101,error_sum,SR02A-PC-HSTR-01:ERCSUM,0
101,state,SR02A-PC-HSTR-01:STATE,2
101,h_fofb_disabled,SR02A-PC-HSTR-01:FAST:DISABLED,0
101,h_sofb_disabled,SR02A-PC-HSTR-01:SLOW:DISABLED,0
101,error_sum,SR02A-PC-VSTR-01:ERCSUM,0
101,state,SR02A-PC-VSTR-01:STATE,2
101,v_fofb_disabled,SR02A-PC-VSTR-01:FAST:DISABLED,0
101,v_sofb_disabled,SR02A-PC-VSTR-01:SLOW:DISABLED,0
118,enabled,SR02C-DI-EBPM-02:CF:ENABLED_S,1
118,x_fofb_disabled,SR02C-PC-HBPM-02:FAST:DISABLED,0
118,x_sofb_disabled,SR02C-PC-HBPM-02:SLOW:DISABLED,0
118,y_fofb_disabled,SR02C-PC-VBPM-02:FAST:DISABLED,0
118,y_sofb_disabled,SR02C-PC-VBPM-02:SLOW:DISABLED,0
126,error_sum,SR02A-PC-HSTR-04:ERCSUM,0
126,state,SR02A-PC-HSTR-04:STATE,2
126,h_fofb_disabled,SR02A-PC-HSTR-04:FAST:DISABLED,0
126,h_sofb_disabled,SR02A-PC-HSTR-04:SLOW:DISABLED,0
126,error_sum,SR02A-PC-VSTR-04:ERCSUM,0
126,state,SR02A-PC-VSTR-04:STATE,2
126,v_fofb_disabled,SR02A-PC-VSTR-04:FAST:DISABLED,0
126,v_sofb_disabled,SR02A-PC-VSTR-04:SLOW:DISABLED,0
130,error_sum,SR02A-PC-HSTR-05:ERCSUM,0
130,state,SR02A-PC-HSTR-05:STATE,2
130,h_fofb_disabled,SR02A-PC-HSTR-05:FAST:DISABLED,0
130,h_sofb_disabled,SR02A-PC-HSTR-05:SLOW:DISABLED,0
130,error_sum,SR02A-PC-VSTR-05:ERCSUM,0
130,state,SR02A-PC-VSTR-05:STATE,2
130,v_fofb_disabled,SR02A-PC-VSTR-05:FAST:DISABLED,0
130,v_sofb_disabled,SR02A-PC-VSTR-05:SLOW:DISABLED,0
134,enabled,SR02C-DI-EBPM-03:CF:ENABLED_S,1
134,x_fofb_disabled,SR02C-PC-HBPM-03:FAST:DISABLED,0
134,x_sofb_disabled,SR02C-PC-HBPM-03:SLOW:DISABLED,0
134,y_fofb_disabled,SR02C-PC-VBPM-03:FAST:DISABLED,0
134,y_sofb_disabled,SR02C-PC-VBPM-03:SLOW:DISABLED,0
139,error_sum,SR02A-PC-HSCOR-01:ERCSUM,0
139,state,SR02A-PC-HSCOR-01:STATE,2
139,h_fofb_disabled,SR02A-PC-HSCOR-01:FAST:DISABLED,0
139,h_sofb_disabled,SR02A-PC-HSCOR-01:SLOW:DISABLED,0
140,error_sum,SR02A-PC-VSCOR-01:ERCSUM,0
140,state,SR02A-PC-VSCOR-01:STATE,2
140,v_fofb_disabled,SR02A-PC-VSCOR-01:FAST:DISABLED,0
140,v_sofb_disabled,SR02A-PC-VSCOR-01:SLOW:DISABLED,0
147,enabled,SR02C-DI-EBPM-04:CF:ENABLED_S,1
147,x_fofb_disabled,SR02C-PC-HBPM-04:FAST:DISABLED,0
147,x_sofb_disabled,SR02C-PC-HBPM-04:SLOW:DISABLED,0
147,y_fofb_disabled,SR02C-PC-VBPM-04:FAST:DISABLED,0
147,y_sofb_disabled,SR02C-PC-VBPM-04:SLOW:DISABLED,0
155,enabled,SR02C-DI-EBPM-05:CF:ENABLED_S,1
155,x_fofb_disabled,SR02C-PC-HBPM-05:FAST:DISABLED,0
155,x_sofb_disabled,SR02C-PC-HBPM-05:SLOW:DISABLED,0
155,y_fofb_disabled,SR02C-PC-VBPM-05:FAST:DISABLED,0
155,y_sofb_disabled,SR02C-PC-VBPM-05:SLOW:DISABLED,0
159,error_sum,SR02A-PC-HSCOR-02:ERCSUM,0
159,state,SR02A-PC-HSCOR-02:STATE,2
159,h_fofb_disabled,SR02A-PC-HSCOR-02:FAST:DISABLED,0
159,h_sofb_disabled,SR02A-PC-HSCOR-02:SLOW:DISABLED,0
160,error_sum,SR02A-PC-VSCOR-02:ERCSUM,0
160,state,SR02A-PC-VSCOR-02:STATE,2
160,v_fofb_disabled,SR02A-PC-VSCOR-02:FAST:DISABLED,0
160,v_sofb_disabled,SR02A-PC-VSCOR-02:SLOW:DISABLED,0
177,enabled,SR02C-DI-EBPM-06:CF:ENABLED_S,1
177,x_fofb_disabled,SR02C-PC-HBPM-06:FAST:DISABLED,0
177,x_sofb_disabled,SR02C-PC-HBPM-06:SLOW:DISABLED,0
177,y_fofb_disabled,SR02C-PC-VBPM-06:FAST:DISABLED,0
177,y_sofb_disabled,SR02C-PC-VBPM-06:SLOW:DISABLED,0
179,error_sum,SR02A-PC-HSTR-07:ERCSUM,0
179,state,SR02A-PC-HSTR-07:STATE,2
179,h_fofb_disabled,SR02A-PC-HSTR-07:FAST:DISABLED,0
179,h_sofb_disabled,SR02A-PC-HSTR-07:SLOW:DISABLED,0
179,error_sum,SR02A-PC-VSTR-07:ERCSUM,0
179,state,SR02A-PC-VSTR-07:STATE,2
179,v_fofb_disabled,SR02A-PC-VSTR-07:FAST:DISABLED,0
179,v_sofb_disabled,SR02A-PC-VSTR-07:SLOW:DISABLED,0
183,error_sum,SR02A-PC-HSTR-08:ERCSUM,0
183,state,SR02A-PC-HSTR-08:STATE,2
183,h_fofb_disabled,SR02A-PC-HSTR-08:FAST:DISABLED,0
183,h_sofb_disabled,SR02A-PC-HSTR-08:SLOW:DISABLED,0
183,error_sum,SR02A-PC-VSTR-08:ERCSUM,0
183,state,SR02A-PC-VSTR-08:STATE,2
183,v_fofb_disabled,SR02A-PC-VSTR-08:FAST:DISABLED,0
183,v_sofb_disabled,SR02A-PC-VSTR-08:SLOW:DISABLED,0
187,enabled,SR02C-DI-EBPM-07:CF:ENABLED_S,1
187,x_fofb_disabled,SR02C-PC-HBPM-07:FAST:DISABLED,0
187,x_sofb_disabled,SR02C-PC-HBPM-07:SLOW:DISABLED,0
187,y_fofb_disabled,SR02C-PC-VBPM-07:FAST:DISABLED,0
187,y_sofb_disabled,SR02C-PC-VBPM-07:SLOW:DISABLED,0
202,error_sum,SR02A-PC-HSTR-10:ERCSUM,0
202,state,SR02A-PC-HSTR-10:STATE,2
202,h_fofb_disabled,SR02A-PC-HSTR-10:FAST:DISABLED,0
202,h_sofb_disabled,SR02A-PC-HSTR-10:SLOW:DISABLED,0
202,error_sum,SR02A-PC-VSTR-10:ERCSUM,0
202,state,SR02A-PC-VSTR-10:STATE,2
202,v_fofb_disabled,SR02A-PC-VSTR-10:FAST:DISABLED,0
202,v_sofb_disabled,SR02A-PC-VSTR-10:SLOW:DISABLED,0
212,enabled,SR02C-DI-EBPM-08:CF:ENABLED_S,1
212,x_fofb_disabled,SR02C-PC-HBPM-08:FAST:DISABLED,0
212,x_sofb_disabled,SR02C-PC-HBPM-08:SLOW:DISABLED,0
212,y_fofb_disabled,SR02C-PC-VBPM-08:FAST:DISABLED,0
212,y_sofb_disabled,SR02C-PC-VBPM-08:SLOW:DISABLED,0
240,enabled,SR03C-DI-EBPM-01:CF:ENABLED_S,1
240,x_fofb_disabled,SR03C-PC-HBPM-01:FAST:DISABLED,0
240,x_sofb_disabled,SR03C-PC-HBPM-01:SLOW:DISABLED,0
240,y_fofb_disabled,SR03C-PC-VBPM-01:FAST:DISABLED,0
240,y_sofb_disabled,SR03C-PC-VBPM-01:SLOW:DISABLED,0
245,error_sum,SR03A-PC-HSTR-01:ERCSUM,0
245,state,SR03A-PC-HSTR-01:STATE,2
245,h_fofb_disabled,SR03A-PC-HSTR-01:FAST:DISABLED,0
245,h_sofb_disabled,SR03A-PC-HSTR-01:SLOW:DISABLED,0
245,error_sum,SR03A-PC-VSTR-01:ERCSUM,0
245,state,SR03A-PC-VSTR-01:STATE,2
245,v_fofb_disabled,SR03A-PC-VSTR-01:FAST:DISABLED,0
245,v_sofb_disabled,SR03A-PC-VSTR-01:SLOW:DISABLED,0
253,error_sum,SR03A-PC-HSTR-02:ERCSUM,0
253,state,SR03A-PC-HSTR-02:STATE,2
253,h_fofb_disabled,SR03A-PC-HSTR-02:FAST:DISABLED,0
253,h_sofb_disabled,SR03A-PC-HSTR-02:SLOW:DISABLED,0
253,error_sum,SR03A-PC-VSTR-02:ERCSUM,0
253,state,SR03A-PC-VSTR-02:STATE,2
253,v_fofb_disabled,SR03A-PC-VSTR-02:FAST:DISABLED,0
253,v_sofb_disabled,SR03A-PC-VSTR-02:SLOW:DISABLED,0
256,enabled,SR03C-DI-EBPM-02:CF:ENABLED_S,1
256,x_fofb_disabled,SR03C-PC-HBPM-02:FAST:DISABLED,0
256,x_sofb_disabled,SR03C-PC-HBPM-02:SLOW:DISABLED,0
256,y_fofb_disabled,SR03C-PC-VBPM-02:FAST:DISABLED,0
256,y_sofb_disabled,SR03C-PC-VBPM-02:SLOW:DISABLED,0
262,enabled,SR03C-DI-EBPM-03:CF:ENABLED_S,1
262,x_fofb_disabled,SR03C-PC-HBPM-03:FAST:DISABLED,0
262,x_sofb_disabled,SR03C-PC-HBPM-03:SLOW:DISABLED,0
262,y_fofb_disabled,SR03C-PC-VBPM-03:FAST:DISABLED,0
262,y_sofb_disabled,SR03C-PC-VBPM-03:SLOW:DISABLED,0
265,error_sum,SR03A-PC-HSTR-03:ERCSUM,0
265,state,SR03A-PC-HSTR-03:STATE,2
265,h_fofb_disabled,SR03A-PC-HSTR-03:FAST:DISABLED,0
265,h_sofb_disabled,SR03A-PC-HSTR-03:SLOW:DISABLED,0
265,error_sum,SR03A-PC-VSTR-03:ERCSUM,0
265,state,SR03A-PC-VSTR-03:STATE,2
265,v_fofb_disabled,SR03A-PC-VSTR-03:FAST:DISABLED,0
265,v_sofb_disabled,SR03A-PC-VSTR-03:SLOW:DISABLED,0
270,enabled,SR03C-DI-EBPM-04:CF:ENABLED_S,1
270,x_fofb_disabled,SR03C-PC-HBPM-04:FAST:DISABLED,0
270,x_sofb_disabled,SR03C-PC-HBPM-04:SLOW:DISABLED,0
270,y_fofb_disabled,SR03C-PC-VBPM-04:FAST:DISABLED,0
270,y_sofb_disabled,SR03C-PC-VBPM-04:SLOW:DISABLED,0
273,error_sum,SR03A-PC-HSTR-04:ERCSUM,0
273,state,SR03A-PC-HSTR-04:STATE,2
273,h_fofb_disabled,SR03A-PC-HSTR-04:FAST:DISABLED,0
273,h_sofb_disabled,SR03A-PC-HSTR-04:SLOW:DISABLED,0
273,error_sum,SR03A-PC-VSTR-04:ERCSUM,0
273,state,SR03A-PC-VSTR-04:STATE,2
273,v_fofb_disabled,SR03A-PC-VSTR-04:FAST:DISABLED,0
273,v_sofb_disabled,SR03A-PC-VSTR-04:SLOW:DISABLED,0
279,error_sum,SR03A-PC-HSTR-05:ERCSUM,0
279,state,SR03A-PC-HSTR-05:STATE,2
279,h_fofb_disabled,SR03A-PC-HSTR-05:FAST:DISABLED,0
279,h_sofb_disabled,SR03A-PC-HSTR-05:SLOW:DISABLED,0
279,error_sum,SR03A-PC-VSTR-05:ERCSUM,0
279,state,SR03A-PC-VSTR-05:STATE,2
279,v_fofb_disabled,SR03A-PC-VSTR-05:FAST:DISABLED,0
279,v_sofb_disabled,SR03A-PC-VSTR-05:SLOW:DISABLED,0
284,enabled,SR03C-DI-EBPM-05:CF:ENABLED_S,1
284,x_fofb_disabled,SR03C-PC-HBPM-05:FAST:DISABLED,0
284,x_sofb_disabled,SR03C-PC-HBPM-05:SLOW:DISABLED,0
284,y_fofb_disabled,SR03C-PC-VBPM-05:FAST:DISABLED,0
284,y_sofb_disabled,SR03C-PC-VBPM-05:SLOW:DISABLED,0
289,error_sum,SR03A-PC-HSTR-06:ERCSUM,0
289,state,SR03A-PC-HSTR-06:STATE,2
289,h_fofb_disabled,SR03A-PC-HSTR-06:FAST:DISABLED,0
289,h_sofb_disabled,SR03A-PC-HSTR-06:SLOW:DISABLED,0
289,error_sum,SR03A-PC-VSTR-06:ERCSUM,0
289,state,SR03A-PC-VSTR-06:STATE,2
289,v_fofb_disabled,SR03A-PC-VSTR-06:FAST:DISABLED,0
289,v_sofb_disabled,SR03A-PC-VSTR-06:SLOW:DISABLED,0
294,enabled,SR03C-DI-EBPM-06:CF:ENABLED_S,1
294,x_fofb_disabled,SR03C-PC-HBPM-06:FAST:DISABLED,0
294,x_sofb_disabled,SR03C-PC-HBPM-06:SLOW:DISABLED,0
294,y_fofb_disabled,SR03C-PC-VBPM-06:FAST:DISABLED,0
294,y_sofb_disabled,SR03C-PC-VBPM-06:SLOW:DISABLED,0
299,error_sum,SR03A-PC-HSTR-07:ERCSUM,0
299,state,SR03A-PC-HSTR-07:STATE,2
299,h_fofb_disabled,SR03A-PC-HSTR-07:FAST:DISABLED,0
299,h_sofb_disabled,SR03A-PC-HSTR-07:SLOW:DISABLED,0
299,error_sum,SR03A-PC-VSTR-07:ERCSUM,0
299,state,SR03A-PC-VSTR-07:STATE,2
299,v_fofb_disabled,SR03A-PC-VSTR-07:FAST:DISABLED,0
299,v_sofb_disabled,SR03A-PC-VSTR-07:SLOW:DISABLED,0
304,enabled,SR03C-DI-EBPM-07:CF:ENABLED_S,1
304,x_fofb_disabled,SR03C-PC-HBPM-07:FAST:DISABLED,0
304,x_sofb_disabled,SR03C-PC-HBPM-07:SLOW:DISABLED,0
304,y_fofb_disabled,SR03C-PC-VBPM-07:FAST:DISABLED,0
304,y_sofb_disabled,SR03C-PC-VBPM-07:SLOW:DISABLED,0
342,enabled,SR04C-DI-EBPM-01:CF:ENABLED_S,1
342,x_fofb_disabled,SR04C-PC-HBPM-01:FAST:DISABLED,0
342,x_sofb_disabled,SR04C-PC-HBPM-01:SLOW:DISABLED,0
342,y_fofb_disabled,SR04C-PC-VBPM-01:FAST:DISABLED,0
342,y_sofb_disabled,SR04C-PC-VBPM-01:SLOW:DISABLED,0
347,error_sum,SR04A-PC-HSTR-01:ERCSUM,0
347,state,SR04A-PC-HSTR-01:STATE,2
347,h_fofb_disabled,SR04A-PC-HSTR-01:FAST:DISABLED,0
347,h_sofb_disabled,SR04A-PC-HSTR-01:SLOW:DISABLED,0
347,error_sum,SR04A-PC-VSTR-01:ERCSUM,0
347,state,SR04A-PC-VSTR-01:STATE,2
347,v_fofb_disabled,SR04A-PC-VSTR-01:FAST:DISABLED,0
347,v_sofb_disabled,SR04A-PC-VSTR-01:SLOW:DISABLED,0
355,error_sum,SR04A-PC-HSTR-02:ERCSUM,0
355,state,SR04A-PC-HSTR-02:STATE,2
355,h_fofb_disabled,SR04A-PC-HSTR-02:FAST:DISABLED,0
355,h_sofb_disabled,SR04A-PC-HSTR-02:SLOW:DISABLED,0
355,error_sum,SR04A-PC-VSTR-02:ERCSUM,0
355,state,SR04A-PC-VSTR-02:STATE,2
355,v_fofb_disabled,SR04A-PC-VSTR-02:FAST:DISABLED,0
355,v_sofb_disabled,SR04A-PC-VSTR-02:SLOW:DISABLED,0
358,enabled,SR04C-DI-EBPM-02:CF:ENABLED_S,1
358,x_fofb_disabled,SR04C-PC-HBPM-02:FAST:DISABLED,0
358,x_sofb_disabled,SR04C-PC-HBPM-02:SLOW:DISABLED,0
358,y_fofb_disabled,SR04C-PC-VBPM-02:FAST:DISABLED,0
358,y_sofb_disabled,SR04C-PC-VBPM-02:SLOW:DISABLED,0
364,enabled,SR04C-DI-EBPM-03:CF:ENABLED_S,1
364,x_fofb_disabled,SR04C-PC-HBPM-03:FAST:DISABLED,0
364,x_sofb_disabled,SR04C-PC-HBPM-03:SLOW:DISABLED,0
364,y_fofb_disabled,SR04C-PC-VBPM-03:FAST:DISABLED,0
364,y_sofb_disabled,SR04C-PC-VBPM-03:SLOW:DISABLED,0
367,error_sum,SR04A-PC-HSTR-03:ERCSUM,0
367,state,SR04A-PC-HSTR-03:STATE,2
367,h_fofb_disabled,SR04A-PC-HSTR-03:FAST:DISABLED,0
367,h_sofb_disabled,SR04A-PC-HSTR-03:SLOW:DISABLED,0
367,error_sum,SR04A-PC-VSTR-03:ERCSUM,0
367,state,SR04A-PC-VSTR-03:STATE,2
367,v_fofb_disabled,SR04A-PC-VSTR-03:FAST:DISABLED,0
367,v_sofb_disabled,SR04A-PC-VSTR-03:SLOW:DISABLED,0
372,enabled,SR04C-DI-EBPM-04:CF:ENABLED_S,1
372,x_fofb_disabled,SR04C-PC-HBPM-04:FAST:DISABLED,0
372,x_sofb_disabled,SR04C-PC-HBPM-04:SLOW:DISABLED,0
372,y_fofb_disabled,SR04C-PC-VBPM-04:FAST:DISABLED,0
372,y_sofb_disabled,SR04C-PC-VBPM-04:SLOW:DISABLED,0
375,error_sum,SR04A-PC-HSTR-04:ERCSUM,0
375,state,SR04A-PC-HSTR-04:STATE,2
375,h_fofb_disabled,SR04A-PC-HSTR-04:FAST:DISABLED,0
375,h_sofb_disabled,SR04A-PC-HSTR-04:SLOW:DISABLED,0
375,error_sum,SR04A-PC-VSTR-04:ERCSUM,0
375,state,SR04A-PC-VSTR-04:STATE,2
375,v_fofb_disabled,SR04A-PC-VSTR-04:FAST:DISABLED,0
375,v_sofb_disabled,SR04A-PC-VSTR-04:SLOW:DISABLED,0
381,error_sum,SR04A-PC-HSTR-05:ERCSUM,0
381,state,SR04A-PC-HSTR-05:STATE,2
381,h_fofb_disabled,SR04A-PC-HSTR-05:FAST:DISABLED,0
381,h_sofb_disabled,SR04A-PC-HSTR-05:SLOW:DISABLED,0
381,error_sum,SR04A-PC-VSTR-05:ERCSUM,0
381,state,SR04A-PC-VSTR-05:STATE,2
381,v_fofb_disabled,SR04A-PC-VSTR-05:FAST:DISABLED,0
381,v_sofb_disabled,SR04A-PC-VSTR-05:SLOW:DISABLED,0
386,enabled,SR04C-DI-EBPM-05:CF:ENABLED_S,1
386,x_fofb_disabled,SR04C-PC-HBPM-05:FAST:DISABLED,0
386,x_sofb_disabled,SR04C-PC-HBPM-05:SLOW:DISABLED,0
386,y_fofb_disabled,SR04C-PC-VBPM-05:FAST:DISABLED,0
386,y_sofb_disabled,SR04C-PC-VBPM-05:SLOW:DISABLED,0
391,error_sum,SR04A-PC-HSTR-06:ERCSUM,0
391,state,SR04A-PC-HSTR-06:STATE,2
391,h_fofb_disabled,SR04A-PC-HSTR-06:FAST:DISABLED,0
391,h_sofb_disabled,SR04A-PC-HSTR-06:SLOW:DISABLED,0
391,error_sum,SR04A-PC-VSTR-06:ERCSUM,0
391,state,SR04A-PC-VSTR-06:STATE,2
391,v_fofb_disabled,SR04A-PC-VSTR-06:FAST:DISABLED,0
391,v_sofb_disabled,SR04A-PC-VSTR-06:SLOW:DISABLED,0
396,enabled,SR04C-DI-EBPM-06:CF:ENABLED_S,1
396,x_fofb_disabled,SR04C-PC-HBPM-06:FAST:DISABLED,0
396,x_sofb_disabled,SR04C-PC-HBPM-06:SLOW:DISABLED,0
396,y_fofb_disabled,SR04C-PC-VBPM-06:FAST:DISABLED,0
396,y_sofb_disabled,SR04C-PC-VBPM-06:SLOW:DISABLED,0
401,error_sum,SR04A-PC-HSTR-07:ERCSUM,0
401,state,SR04A-PC-HSTR-07:STATE,2
401,h_fofb_disabled,SR04A-PC-HSTR-07:FAST:DISABLED,0
401,h_sofb_disabled,SR04A-PC-HSTR-07:SLOW:DISABLED,0
401,error_sum,SR04A-PC-VSTR-07:ERCSUM,0
401,state,SR04A-PC-VSTR-07:STATE,2
401,v_fofb_disabled,SR04A-PC-VSTR-07:FAST:DISABLED,0
401,v_sofb_disabled,SR04A-PC-VSTR-07:SLOW:DISABLED,0
404,OFFSET1,SR04A-PC-Q1D-10:OFFSET1,0
406,enabled,SR04C-DI-EBPM-07:CF:ENABLED_S,1
406,x_fofb_disabled,SR04C-PC-HBPM-07:FAST:DISABLED,0
406,x_sofb_disabled,SR04C-PC-HBPM-07:SLOW:DISABLED,0
406,y_fofb_disabled,SR04C-PC-VBPM-07:FAST:DISABLED,0
406,y_sofb_disabled,SR04C-PC-VBPM-07:SLOW:DISABLED,0
423,enabled,SR05C-DI-EBPM-01:CF:ENABLED_S,1
423,x_fofb_disabled,SR05C-PC-HBPM-01:FAST:DISABLED,0
423,x_sofb_disabled,SR05C-PC-HBPM-01:SLOW:DISABLED,0
423,y_fofb_disabled,SR05C-PC-VBPM-01:FAST:DISABLED,0
423,y_sofb_disabled,SR05C-PC-VBPM-01:SLOW:DISABLED,0
425,OFFSET1,SR05A-PC-Q1D-01:OFFSET1,0
428,error_sum,SR05A-PC-HSTR-01:ERCSUM,0
428,state,SR05A-PC-HSTR-01:STATE,2
428,h_fofb_disabled,SR05A-PC-HSTR-01:FAST:DISABLED,0
428,h_sofb_disabled,SR05A-PC-HSTR-01:SLOW:DISABLED,0
428,error_sum,SR05A-PC-VSTR-01:ERCSUM,0
428,state,SR05A-PC-VSTR-01:STATE,2
